,rating_value
0,4.72
1,4.57
2,4.5
3,4.5
4,4.58
5,5.0
6,4.63
7,3.33
8,5.0
9,5.0
11,5.0
12,5.0
13,5.0
14,5.0
15,5.0
16,5.0
17,5.0
18,5.0
20,4.33
21,4.0
23,4.0
25,4.67
26,5.0
27,5.0
30,5.0
31,4.0
33,5.0
34,5.0
36,5.0
38,5.0
42,4.67
43,5.0
44,5.0
45,5.0
46,5.0
53,5.0
56,5.0
57,5.0
61,1.0
64,4.5
65,5.0
68,4.5
73,3.33
75,4.5
76,5.0
78,5.0
79,4.5
80,4.0
85,5.0
88,5.0
94,5.0
96,5.0
99,5.0
100,5.0
103,5.0
111,4.0
112,5.0
113,4.0
115,5.0
128,4.5
130,5.0
137,5.0
138,5.0
142,5.0
144,5.0
145,5.0
149,3.0
156,5.0
160,1.0
161,5.0
164,5.0
168,5.0
175,5.0
176,4.0
179,5.0
180,5.0
182,5.0
187,5.0
211,5.0
213,5.0
224,4.0
230,1.0
233,5.0
237,5.0
240,5.0
252,4.0
255,5.0
259,5.0
273,5.0
277,4.0
278,4.0
281,4.0
285,4.0
294,5.0
300,5.0
307,4.5
315,5.0
317,5.0
325,5.0
327,4.0
330,2.0
333,5.0
334,5.0
342,5.0
344,3.0
347,5.0
352,5.0
354,5.0
358,4.0
363,5.0
395,5.0
397,5.0
400,5.0
402,5.0
404,5.0
405,5.0
419,5.0
426,5.0
433,5.0
447,5.0
449,5.0
454,5.0
458,5.0
464,4.0
466,4.0
467,5.0
470,5.0
472,5.0
478,5.0
480,5.0
482,5.0
490,5.0
491,4.0
492,5.0
495,4.0
496,5.0
506,5.0
528,5.0
537,5.0
549,4.5
555,5.0
559,4.0
606,5.0
621,5.0
642,5.0
646,5.0
647,5.0
653,4.0
664,5.0
673,4.0
677,5.0
681,5.0
685,5.0
689,4.0
712,5.0
736,5.0
760,3.0
763,5.0
765,5.0
767,5.0
770,5.0
772,5.0
776,5.0
780,5.0
781,5.0
782,5.0
783,5.0
799,4.0
806,4.0
817,4.0
821,5.0
825,3.0
827,5.0
831,4.0
832,5.0
835,5.0
839,5.0
845,5.0
846,5.0
848,4.0
853,4.0
855,3.0
856,5.0
862,5.0
863,4.0
865,4.0
867,5.0
869,5.0
874,4.0
876,5.0
882,5.0
883,5.0
884,5.0
895,4.0
896,5.0
937,4.0
945,5.0
952,5.0
956,5.0
985,5.0
986,5.0
995,3.0
996,4.0
1083,5.0
1090,5.0
1125,5.0
1126,4.0
1170,5.0
1171,5.0
1182,5.0
1191,5.0
1215,5.0
1216,5.0
1217,5.0
1227,5.0
