,abv,ibu,diff_g,boil_time,efficiency,ferm_total_weight,ferm_type_base_malt,ferm_type_crystal_malt,ferm_type_roasted_malt,ferm_type_other,ferm_type_extract,ferm_type_sugar,ferm_type_raw,ferm_type_acidulated_malt,ferm_type_fruit,ferm_type_gluten_free_malt,hops_type_pellet,hops_type_leaf_whole,hops_type_plug,other_type_spice,other_type_water_agt,other_type_other,other_type_fining,other_type_flavor,other_type_herb,yeast_attenuation,method_all_grain,method_biab,method_extract,method_partial_mash,yeast_form_dry,yeast_form_liquid,yeast_flocculation_high,yeast_flocculation_low,yeast_flocculation_medium
0,5.58,40.12,0.04200000000000004,70,79.0,12.41,11.5,0.90875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0,1,0,0,0,0,81.0,1,0,0,0,1,0,0,0,1
1,6.5,50.6,0.049000000000000155,60,70.0,13.97,12.57,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.859375,0.0,0.0,0,1,1,1,0,0,73.0,1,0,0,0,0,1,1,0,0
2,5.8,54.48,0.04400000000000004,60,70.0,14.38,12.88,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.546875,0.0,0.0,0,0,0,0,0,0,75.0,1,0,0,0,1,0,1,0,0
3,5.91,59.25,0.04499999999999993,60,70.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,75.0,0,0,1,0,1,0,1,0,0
4,8.16,60.65,0.062000000000000055,60,70.0,19.75,15.0,0.75,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,1,0,0,0,1,0,75.0,1,0,0,0,0,1,0,0,1
5,6.1,37.06,0.04700000000000015,60,55.0,2.88,2.5,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065625,0.0,0.0,0,0,0,0,0,0,78.0,1,0,0,0,1,0,1,0,0
6,5.48,17.65,0.04200000000000004,75,70.0,11.75,9.25,1.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.09375,0.0,0.0,0,0,1,1,1,0,75.0,1,0,0,0,0,1,0,1,0
7,7.14,61.83,0.05499999999999994,60,75.0,14.75,14.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,75.0,1,0,0,0,0,1,0,0,1
8,7.31,28.98,0.05500000000000016,60,70.0,16.22,13.6,1.24,0.38,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,1,1,1,0,0,0,75.0,0,1,0,0,0,1,0,0,1
9,6.63,55.52,0.050000000000000044,60,75.0,12.75,11.625,1.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28125,0.0,0.0,0,1,0,0,0,0,74.0,1,0,0,0,0,1,0,0,1
